district,district_census_code,state,state_census_code,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,total_BMIM,total_BMIW,total_BPM,total_BPW,total_SUGM,total_SUGW,urban_BMIM,urban_BMIW,urban_BPM,urban_BPW,urban_SUGM,urban_SUGW
Banda,170,Uttar Pradesh,09,5.2,6.4,3.9,3.8000000000000003,1.0,1.0,10.5,8.3,6.1,3.6,4.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Bandipore,009,Jammu & Kashmir,01,19.3,32.9,8.7,9.700000000000001,4.1,4.3,18.3,34.1,7.8,10.299999999999999,5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Bangalore,572,Karnataka,29,0.0,0.0,0.0,0.0,0.0,0.0,26.1,32.0,11.6,7.300000000000001,10.9,8.3,27.5,33.4,11.700000000000001,6.7,8.8,8.7
Bangalore Rural,583,Karnataka,29,20.9,20.0,24.499999999999996,6.6,4.9,6.4,22.3,24.5,21.1,8.9,5.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Banka,225,Bihar,10,12.4,6.0,5.7,3.6999999999999997,6.6,3.7,13.4,6.2,6.3,3.6999999999999997,7.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Bankura,339,West Bengal,19,9.3,7.9,7.7,7.8,9.4,7.3,9.0,9.4,8.8,8.799999999999999,9.2,6.9,0.0,0.0,0.0,0.0,0.0,0.0
Banswara,125,Rajasthan,08,7.0,7.0,5.1000000000000005,3.4,8.1,4.4,8.7,9.0,4.8999999999999995,3.4999999999999996,7.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Bara Banki,176,Uttar Pradesh,09,8.3,11.0,16.099999999999998,8.5,6.1,3.6,11.4,13.8,14.3,9.4,5.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Baramula,008,Jammu & Kashmir,01,18.6,21.1,12.2,8.5,3.7,2.9,21.7,24.5,9.8,7.8,3.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0
Baran,128,Rajasthan,08,5.3,7.6,6.700000000000001,5.3999999999999995,7.4,4.4,7.6,9.7,7.2,5.3999999999999995,9.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Barddhaman,335,West Bengal,19,6.4,11.8,10.6,11.9,9.1,7.3,12.2,17.0,13.299999999999999,12.200000000000001,7.3,7.5,19.7,23.8,17.1,12.5,4.9,7.8
Bareilly,150,Uttar Pradesh,09,6.0,15.7,6.1000000000000005,7.299999999999999,13.0,7.7,10.6,20.9,7.8999999999999995,8.1,12.9,8.2,17.1,28.3,10.5,9.100000000000001,12.8,9.0
Bargarh,370,Odisha,21,16.6,13.0,15.8,7.0,9.5,5.2,17.3,14.5,16.9,7.699999999999999,9.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Barmer,115,Rajasthan,08,14.2,9.8,12.100000000000001,6.5,4.1,2.8,15.0,11.7,10.9,7.1,3.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnala,054,Punjab,03,20.0,31.8,34.9,24.6,13.0,5.6,24.4,32.4,31.2,22.3,10.6,5.8,34.1,33.5,22.900000000000002,17.8,5.4,6.2
Barpeta,303,Assam,18,14.4,11.5,30.4,21.400000000000002,6.3,5.2,14.3,12.0,31.4,21.4,6.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Barwani,441,Madhya Pradesh,23,4.0,6.7,10.5,11.8,5.0,4.5,9.9,10.8,11.399999999999999,11.700000000000001,6.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0
Bastar,414,Chhattisgarh,22,2.2,2.4,9.0,9.7,9.0,5.9,5.3,6.3,9.499999999999998,9.8,10.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0
Basti,185,Uttar Pradesh,09,9.4,14.6,18.9,12.1,11.6,12.8,8.5,15.5,20.2,12.299999999999999,10.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0
Bathinda,046,Punjab,03,24.7,23.1,12.4,12.200000000000001,4.5,4.9,26.0,23.8,10.9,10.1,5.4,4.6,27.8,24.6,8.5,7.7,6.8,4.2
Baudh,391,Odisha,21,13.6,8.4,9.700000000000001,7.2,12.5,5.1,14.8,8.7,10.200000000000001,7.2,12.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Begusarai,222,Bihar,10,15.9,8.4,10.4,4.3,5.5,2.4,12.5,9.9,8.6,5.0,4.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
Belgaum,555,Karnataka,29,22.8,18.6,9.4,9.500000000000002,4.7,4.9,27.5,20.7,10.6,9.200000000000001,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Bellary,565,Karnataka,29,10.3,14.5,6.199999999999999,6.0,6.6,3.1,20.9,18.9,10.5,7.3999999999999995,6.5,4.0,37.0,24.7,16.799999999999997,9.2,6.3,5.2
Betul,447,Madhya Pradesh,23,3.8,10.3,5.8,4.699999999999999,5.8,2.3,6.8,12.2,4.6,4.800000000000001,5.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Bhadrak,378,Odisha,21,21.8,11.6,7.9,6.2,15.5,11.3,22.5,13.9,8.8,6.8,13.7,11.5,0.0,0.0,0.0,0.0,0.0,0.0
Bhagalpur,224,Bihar,10,8.5,8.4,4.7,3.0999999999999996,3.2,3.9,9.2,12.4,7.4,3.8000000000000003,3.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Bhandara,506,Maharashtra,27,6.9,10.9,10.6,8.8,8.7,4.3,10.7,14.5,13.000000000000002,10.700000000000001,9.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Bharatpur,105,Rajasthan,08,11.5,12.1,9.999999999999998,9.700000000000001,4.2,3.0,12.5,14.4,13.2,10.1,4.7,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Bharuch,488,Gujarat,24,12.6,16.3,17.3,11.600000000000001,5.1,8.8,16.5,23.7,18.0,12.100000000000001,6.3,8.1,23.2,35.6,19.200000000000003,13.0,8.4,6.8
Bhavnagar,481,Gujarat,24,21.6,23.9,17.9,7.6,7.6,6.8,23.7,28.0,15.9,8.2,11.0,6.9,26.1,34.1,13.8,9.0,14.8,6.9
Bhilwara,122,Rajasthan,08,8.2,12.3,5.4,3.6999999999999997,6.3,3.1,10.2,14.1,5.5,3.8,6.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhind,420,Madhya Pradesh,23,9.8,11.1,2.6,4.3999999999999995,2.1,1.2,11.7,12.1,2.8000000000000003,3.6999999999999997,3.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0
Bhiwani,081,Haryana,06,21.3,19.1,17.7,8.200000000000001,4.6,4.2,23.6,22.1,16.3,9.0,4.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,231,Bihar,10,8.9,12.3,12.299999999999999,6.1,6.8,4.1,13.7,14.4,10.1,5.3,7.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Bhopal,444,Madhya Pradesh,23,0.0,0.0,0.0,0.0,0.0,0.0,21.7,23.5,13.6,6.6,7.2,4.1,24.0,26.0,15.3,6.9,8.0,4.5
Bid,523,Maharashtra,27,12.2,15.9,6.1,7.3999999999999995,1.0,4.6,13.8,18.6,6.8999999999999995,8.0,0.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0
Bidar,558,Karnataka,29,12.6,12.2,20.7,10.899999999999999,5.3,3.3,17.0,15.9,21.6,12.4,7.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Bijapur,417,Chhattisgarh,22,7.3,1.7,13.0,5.8,4.4,4.0,7.7,2.4,12.5,5.6,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Bijapur,557,Karnataka,29,13.9,13.4,24.2,10.700000000000001,5.0,3.6,16.2,18.0,25.7,11.899999999999999,5.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Bijnor,134,Uttar Pradesh,09,4.9,17.1,5.8,5.2,10.5,5.4,9.8,20.1,8.1,6.800000000000001,11.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Bikaner,101,Rajasthan,08,10.2,10.7,10.6,6.0,6.4,3.3,13.2,15.4,11.8,6.1000000000000005,5.3,3.9,18.0,22.4,14.100000000000001,6.0,3.5,5.0
Bilaspur,030,Himachal Pradesh,02,18.2,27.7,23.3,12.5,5.1,6.8,17.9,28.4,22.6,12.4,5.5,6.6,0.0,0.0,0.0,0.0,0.0,0.0
Bilaspur,406,Chhattisgarh,22,5.8,7.0,5.2,5.4,0.7,3.3,10.3,10.0,7.1,6.1,4.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0
Birbhum,334,West Bengal,19,5.2,8.8,6.6000000000000005,9.9,12.0,4.8,4.5,10.3,8.1,10.2,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishnupur,275,Manipur,14,20.5,23.4,17.400000000000002,9.799999999999999,13.7,5.3,21.7,24.5,20.8,10.600000000000001,11.1,6.0,23.1,25.5,24.6,11.5,8.2,6.6
Bokaro,355,Jharkhand,20,3.5,4.9,9.1,6.6,10.9,4.7,14.2,12.1,11.299999999999999,7.8,8.7,5.5,25.5,18.9,13.600000000000001,8.799999999999999,6.4,6.2
Bongaigaon,319,Assam,18,19.1,12.3,26.9,17.8,5.6,4.1,18.7,13.4,26.0,18.5,5.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Budaun,149,Uttar Pradesh,09,4.0,9.3,3.5,3.6999999999999997,5.8,3.6,9.3,14.2,4.8,4.7,5.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Bulandshahr,142,Uttar Pradesh,09,10.1,15.1,7.6000000000000005,4.9,5.5,3.0,13.7,19.3,10.299999999999999,6.199999999999999,4.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0
Buldhana,500,Maharashtra,27,4.3,14.3,10.8,9.1,3.4,3.2,11.4,16.8,15.7,9.5,3.1,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Bundi,121,Rajasthan,08,7.2,7.3,12.9,3.6,8.6,3.9,10.5,10.9,12.6,5.1,7.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Burhanpur,467,Madhya Pradesh,23,7.4,10.5,14.399999999999999,8.4,2.9,4.6,12.2,16.3,13.3,9.0,4.2,4.8,20.6,25.2,11.399999999999999,10.100000000000001,6.6,5.0
Buxar,232,Bihar,10,8.6,14.7,11.0,6.9,6.1,3.6,13.5,17.2,11.6,6.9,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Cachar,316,Assam,18,7.3,6.0,13.6,10.9,0.8,1.9,9.3,7.7,17.2,11.299999999999999,1.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Central,095,NCT Delhi,07,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.6,15.9,8.700000000000001,10.0,7.2,17.0,35.6,15.9,8.700000000000001,10.0,7.2
Chamarajanagar,578,Karnataka,29,17.9,15.1,14.700000000000001,11.4,9.9,4.0,18.8,17.3,17.5,13.200000000000001,10.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Chamba,023,Himachal Pradesh,02,15.8,18.6,14.799999999999999,6.699999999999999,7.9,3.1,14.5,20.8,14.200000000000001,7.0,7.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0
Chamoli,057,Uttarakhand,05,8.2,12.9,12.6,6.6000000000000005,2.4,3.8,10.2,16.6,16.1,7.1,1.8,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Champawat,065,Uttarakhand,05,23.2,13.6,23.5,10.6,13.0,8.5,19.3,17.1,19.5,11.1,10.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Champhai,284,Mizoram,15,15.1,13.0,16.7,9.8,9.2,7.1,17.8,17.4,17.9,10.0,7.9,6.9,21.4,22.6,19.5,10.4,6.2,6.6
Chandauli,196,Uttar Pradesh,09,9.5,12.0,10.700000000000001,7.199999999999999,7.2,3.0,10.7,14.1,11.6,7.5,7.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Chandel,280,Manipur,14,15.4,23.8,11.600000000000001,11.1,9.0,5.7,15.3,24.4,11.3,10.899999999999999,8.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,055,Chandigarh,04,0.0,0.0,0.0,0.0,0.0,0.0,32.0,41.5,13.5,9.3,6.9,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Chandrapur,509,Maharashtra,27,12.4,5.6,5.300000000000001,6.2,8.0,4.1,17.4,12.2,13.299999999999999,8.5,7.6,4.1,26.8,23.8,28.3,12.5,6.8,4.2
Changlang,253,Arunachal Pradesh,12,11.1,12.1,15.500000000000002,12.2,15.3,7.3,11.4,13.4,13.1,12.3,14.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0
Chatra,347,Jharkhand,20,9.9,4.5,16.0,6.799999999999999,6.9,3.4,10.2,6.6,16.900000000000002,7.1,6.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,603,Tamil Nadu,33,0.0,0.0,0.0,0.0,0.0,0.0,31.3,33.6,9.600000000000001,10.0,9.3,9.7,31.3,33.6,9.600000000000001,10.0,9.3,9.7
Chhatarpur,425,Madhya Pradesh,23,6.4,6.5,9.5,7.1,12.2,4.9,6.7,10.4,11.1,8.200000000000001,10.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Chhindwara,455,Madhya Pradesh,23,8.9,11.3,4.2,6.2,9.3,4.1,12.0,14.0,5.6,5.9,8.4,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Chikkaballapura,582,Karnataka,29,16.8,15.8,21.0,7.6000000000000005,5.0,5.8,20.8,22.9,20.0,7.3,5.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0
Chikmagalur,570,Karnataka,29,13.8,20.5,9.6,12.5,10.4,8.6,16.9,23.5,12.7,12.5,10.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0
Chirang,320,Assam,18,13.7,15.3,28.7,23.3,7.3,5.5,14.7,15.6,28.0,22.4,7.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0
Chitradurga,566,Karnataka,29,18.8,10.2,11.5,8.1,7.5,3.9,20.2,13.1,13.1,9.1,7.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Chitrakoot,171,Uttar Pradesh,09,1.1,6.0,3.7,3.0000000000000004,5.5,2.1,3.5,7.3,5.6,3.1,5.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0
Chittaurgarh,126,Rajasthan,08,6.1,13.9,7.4,8.1,5.4,2.9,12.8,17.6,11.3,9.0,5.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Chittoor,554,Andhra Pradesh,28,25.6,22.2,11.600000000000001,6.6,9.1,8.1,30.8,28.5,14.4,7.799999999999999,8.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Churachandpur,274,Manipur,14,17.1,22.0,19.4,7.8,18.8,11.0,18.7,22.5,18.7,7.8,19.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Churu,102,Rajasthan,08,7.1,11.9,12.8,7.2,2.9,2.4,9.3,13.5,10.7,7.6000000000000005,2.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Coimbatore,632,Tamil Nadu,33,0.0,0.0,0.0,0.0,0.0,0.0,34.8,34.4,16.099999999999998,9.6,7.8,5.5,36.0,36.6,17.400000000000002,11.2,9.0,6.0
Cuddalore,617,Tamil Nadu,33,19.3,23.6,8.700000000000001,5.0,10.1,3.9,22.1,29.0,10.5,6.4,9.9,4.9,26.9,39.4,13.7,8.7,9.7,6.9
Cuttack,381,Odisha,21,25.3,23.3,5.2,9.0,15.2,11.1,25.0,28.5,9.8,10.1,13.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0
Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,26,11.5,6.9,6.8,5.4,11.1,4.0,22.9,19.2,12.1,7.3999999999999995,8.7,4.7,33.8,34.2,17.0,10.0,6.5,5.7
Dakshin Bastar Dantewada,416,Chhattisgarh,22,2.8,3.1,9.4,9.8,7.0,5.2,2.2,4.9,11.899999999999999,9.5,7.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Dakshin Dinajpur,331,West Bengal,19,8.8,10.5,7.5,12.700000000000001,7.3,5.5,11.4,12.0,8.8,11.9,7.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0
Dakshina Kannada,575,Karnataka,29,17.7,21.9,16.5,12.9,7.3,5.8,20.4,26.0,14.4,13.299999999999999,9.0,5.5,23.2,30.5,12.3,13.600000000000001,10.7,5.3
Daman,495,Daman & Diu,25,0.0,0.0,0.0,0.0,0.0,0.0,30.9,31.8,7.200000000000001,7.3,9.4,5.2,30.3,32.4,7.300000000000001,6.9,9.0,5.5
Damoh,428,Madhya Pradesh,23,2.6,9.1,4.5,7.800000000000001,3.6,7.5,6.2,13.0,8.6,9.100000000000001,5.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0
Darbhanga,215,Bihar,10,14.0,9.8,9.9,5.5,2.7,4.4,13.8,11.9,12.4,5.5,2.4,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Darjiling,327,West Bengal,19,18.6,18.4,20.099999999999998,13.0,10.4,3.1,21.1,23.6,24.8,14.200000000000001,7.7,3.8,24.7,32.4,31.7,16.0,3.6,4.9
Darrang,325,Assam,18,5.3,9.1,12.3,11.6,9.1,5.2,5.6,9.6,12.799999999999999,11.8,9.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0
Datia,422,Madhya Pradesh,23,2.6,7.2,3.9000000000000004,3.8,3.8,3.2,3.5,10.0,4.7,4.1,4.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0
Dausa,109,Rajasthan,08,6.1,8.2,13.200000000000001,6.8999999999999995,6.7,2.7,9.6,10.2,12.5,7.3,7.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Davanagere,567,Karnataka,29,15.2,21.7,14.999999999999998,12.9,11.9,5.2,20.1,25.8,16.099999999999998,13.600000000000001,13.2,6.5,29.5,32.7,17.9,14.6,15.5,8.8
Debagarh,373,Odisha,21,8.1,9.5,22.6,12.5,8.5,5.5,10.8,10.8,22.700000000000003,13.1,9.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Dehradun,060,Uttarakhand,05,18.4,24.4,15.500000000000002,8.5,3.4,6.3,21.6,24.4,17.6,9.1,8.5,5.7,23.1,24.4,18.7,9.4,11.0,5.4
Deoghar,350,Jharkhand,20,6.5,4.3,11.0,6.9,12.0,7.4,11.7,7.7,16.3,8.1,9.2,7.7,0.0,0.0,0.0,0.0,0.0,0.0
Deoria,190,Uttar Pradesh,09,12.0,16.1,19.599999999999998,9.4,6.4,7.1,13.1,17.3,18.8,9.2,6.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0
Dewas,437,Madhya Pradesh,23,14.4,10.5,19.1,8.7,4.8,3.5,16.8,14.6,16.6,9.0,6.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0
Dhalai,291,Tripura,16,13.8,12.3,7.9,7.5,9.0,5.1,15.4,13.5,9.3,7.8999999999999995,9.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Dhamtari,412,Chhattisgarh,22,6.5,7.3,7.4,7.8,10.9,5.2,6.8,10.0,8.7,7.7,11.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Dhanbad,354,Jharkhand,20,7.3,6.8,7.8999999999999995,6.300000000000001,7.9,6.7,10.5,14.7,8.6,6.5,7.9,6.3,12.7,19.9,8.9,6.5,7.9,6.0
Dhar,438,Madhya Pradesh,23,10.0,8.9,13.600000000000001,9.299999999999999,4.9,4.5,12.7,12.1,10.2,9.2,3.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0
Dharmapuri,630,Tamil Nadu,33,22.4,23.3,13.0,8.4,7.7,7.5,22.3,25.4,13.2,10.599999999999998,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0
Dharwad,562,Karnataka,29,18.2,18.4,18.599999999999998,10.8,8.1,5.1,30.3,29.4,21.3,10.999999999999998,8.7,8.6,39.3,37.2,23.299999999999997,11.1,9.1,11.0
Dhaulpur,106,Rajasthan,08,9.2,6.3,5.7,4.0,6.2,2.2,9.5,10.3,7.0,4.2,5.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Dhemaji,308,Assam,18,11.3,11.9,19.2,16.900000000000002,9.8,6.0,13.5,12.4,20.000000000000004,17.3,10.3,6.4,0.0,0.0,0.0,0.0,0.0,0.0
Dhenkanal,383,Odisha,21,11.9,15.0,11.5,12.1,16.2,8.6,16.2,18.8,12.4,11.600000000000001,16.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0
Dhubri,301,Assam,18,15.1,6.1,8.5,12.500000000000002,3.8,2.7,16.2,9.4,8.5,13.7,3.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Dhule,498,Maharashtra,27,16.7,9.3,19.4,9.0,8.2,5.1,16.9,14.0,21.099999999999998,8.9,7.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0
Dibang Valley,257,Arunachal Pradesh,12,17.5,25.8,26.400000000000002,21.299999999999997,5.3,7.7,17.5,25.8,26.400000000000002,21.299999999999997,5.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0
Dibrugarh,310,Assam,18,13.4,10.6,24.5,15.7,7.3,4.0,15.1,14.9,23.400000000000002,16.8,7.2,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Dima Hasao,315,Assam,18,4.8,9.3,19.2,13.6,7.0,4.4,11.3,14.5,19.6,12.8,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimapur,265,Nagaland,13,16.1,22.0,20.799999999999997,14.3,6.9,7.6,13.7,22.6,24.2,15.0,9.3,6.6,12.0,23.0,26.9,15.6,11.1,5.8
Dindigul,612,Tamil Nadu,33,26.0,22.0,14.200000000000001,8.3,3.9,5.3,24.4,26.0,14.9,8.2,5.6,6.3,21.3,32.5,16.099999999999998,8.1,8.9,8.1
Dindori,453,Madhya Pradesh,23,5.0,4.0,9.7,9.9,7.5,5.5,4.5,4.8,10.7,9.8,6.7,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Diu,494,Daman & Diu,25,35.0,28.4,11.2,6.500000000000001,5.9,6.5,28.8,31.0,10.899999999999999,7.199999999999999,4.6,6.3,19.1,34.3,10.7,8.4,2.6,6.2
Doda,016,Jammu & Kashmir,01,13.8,17.0,12.4,12.000000000000002,3.0,3.2,15.7,18.7,12.399999999999999,12.500000000000002,3.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Dohad,485,Gujarat,24,7.4,4.4,13.900000000000002,11.5,1.9,6.5,8.9,9.8,15.0,11.9,1.5,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Dumka,362,Jharkhand,20,8.5,2.5,9.9,9.1,7.7,4.5,8.3,4.1,9.7,9.1,7.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Dungarpur,124,Rajasthan,08,6.0,4.7,11.2,5.1,5.4,4.4,5.7,6.2,11.0,5.2,5.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Durg,409,Chhattisgarh,22,7.3,11.1,7.1000000000000005,6.3,10.2,7.8,13.8,18.6,14.200000000000001,7.6,11.7,8.1,23.7,29.1,24.8,9.4,14.0,8.7
East,093,NCT Delhi,07,0.0,0.0,0.0,0.0,0.0,0.0,36.0,43.7,16.1,11.6,10.3,5.6,36.0,43.7,16.1,11.6,10.3,5.6
East District,244,Sikkim,11,27.7,26.5,26.7,18.8,5.4,6.7,36.8,30.8,28.0,19.099999999999998,8.2,7.4,44.3,34.3,29.2,19.2,10.6,7.9
East Garo Hills,294,Meghalaya,17,7.1,9.1,11.600000000000001,15.399999999999999,2.6,3.8,8.2,8.7,12.6,14.9,2.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0
East Godavari,545,Andhra Pradesh,28,24.7,32.2,24.0,12.299999999999999,10.4,4.6,28.0,36.4,22.299999999999997,12.299999999999999,12.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0
East Kameng,247,Arunachal Pradesh,12,15.1,15.0,21.6,15.7,10.7,4.1,17.3,16.9,14.7,13.0,10.9,4.8,0.0,0.0,0.0,0.0,0.0,0.0
East Khasi Hills,298,Meghalaya,17,0.0,11.1,7.1,8.2,9.7,5.7,8.2,16.7,10.999999999999998,8.7,11.1,5.4,18.1,21.4,15.6,9.1,12.9,5.2
East Siang,251,Arunachal Pradesh,12,32.2,22.8,36.599999999999994,16.5,10.4,10.1,38.2,22.5,31.7,19.099999999999998,9.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0
Ernakulam,595,Kerala,32,41.3,35.3,12.8,8.4,13.0,10.1,38.9,34.5,9.2,8.200000000000001,17.0,8.7,37.7,34.1,7.3999999999999995,8.200000000000001,18.9,8.0
Erode,610,Tamil Nadu,33,14.1,25.1,22.599999999999998,10.0,14.5,5.2,24.1,27.4,20.4,9.299999999999999,13.0,5.1,33.0,29.4,18.400000000000002,8.6,11.6,5.1
Etah,201,Uttar Pradesh,09,8.7,14.3,9.600000000000001,4.6,3.5,1.7,11.0,17.4,9.9,5.7,3.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Etawah,161,Uttar Pradesh,09,8.1,15.7,15.799999999999999,8.3,5.5,3.6,12.5,18.5,13.600000000000001,7.8,5.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Faizabad,177,Uttar Pradesh,09,10.1,13.4,9.4,7.1000000000000005,2.5,3.4,11.4,14.9,10.6,7.6000000000000005,3.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Faridabad,088,Haryana,06,0.0,0.0,0.0,0.0,0.0,0.0,18.8,23.7,15.999999999999998,11.1,9.4,6.4,19.4,25.0,13.3,11.7,8.5,6.3
Faridkot,045,Punjab,03,11.8,26.6,29.9,8.9,0.8,6.3,13.1,24.5,27.9,9.7,3.0,6.6,18.1,18.4,20.0,12.0,11.3,7.5
Farrukhabad,159,Uttar Pradesh,09,10.8,11.9,10.6,8.4,5.8,3.7,13.2,15.3,9.799999999999999,10.0,6.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Fatehabad,078,Haryana,06,17.7,13.5,14.2,14.4,5.4,3.0,17.8,15.1,26.099999999999998,14.799999999999999,4.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Fatehgarh Sahib,040,Punjab,03,39.0,40.0,25.700000000000003,14.8,10.3,5.8,36.5,41.0,23.4,13.9,9.2,6.0,30.3,43.4,17.3,11.9,6.5,6.3
Fatehpur,172,Uttar Pradesh,09,8.0,9.4,1.7000000000000002,5.2,4.5,2.2,9.0,10.0,2.2,5.8,4.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0
Firozabad,147,Uttar Pradesh,09,9.8,10.1,6.0,5.2,6.3,3.9,11.8,15.6,7.3,6.6000000000000005,6.3,4.0,14.4,24.2,8.7,8.700000000000001,6.3,4.2
Firozpur,043,Punjab,03,25.7,25.8,27.299999999999997,14.399999999999999,13.3,8.2,25.1,27.5,26.5,14.3,13.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0
Gadag,561,Karnataka,29,16.8,8.7,18.0,8.399999999999999,4.5,1.9,24.2,11.7,21.700000000000003,7.1,6.4,3.6,34.8,15.7,26.900000000000002,5.5,9.0,5.9
Gadchiroli,508,Maharashtra,27,10.7,6.3,9.1,7.0,4.1,3.9,11.0,6.5,10.6,6.9,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Gajapati,389,Odisha,21,12.9,8.1,11.1,4.8999999999999995,5.3,5.7,13.7,11.2,10.700000000000001,5.3999999999999995,4.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0
