district,district_census_code,state,state_census_code,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,total_BMIM,total_BMIW,total_BPM,total_BPW,total_SUGM,total_SUGW,urban_BMIM,urban_BMIW,urban_BPM,urban_BPW,urban_SUGM,urban_SUGW
Thiruvallur,602,Tamil Nadu,33,30.0,28.1,8.7,5.3,6.6,4.2,32.0,32.3,12.700000000000001,6.3,8.1,6.2,33.2,34.4,15.1,6.6000000000000005,9.0,7.2
Thiruvananthapuram,601,Kerala,32,23.0,37.6,17.3,5.8,5.5,5.5,25.2,33.6,7.8,5.1,10.5,6.2,26.7,30.0,1.3,4.300000000000001,13.8,6.8
Thiruvarur,619,Tamil Nadu,33,19.9,28.0,13.0,9.299999999999999,9.5,6.1,24.6,29.2,14.200000000000001,10.2,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Thoothukkudi,627,Tamil Nadu,33,20.4,30.3,20.2,5.3,5.8,6.0,22.9,36.0,20.7,6.5,7.0,6.7,24.2,41.1,21.0,7.500000000000001,7.7,7.3
Thoubal,276,Manipur,14,17.3,22.0,22.4,8.8,5.8,4.8,20.7,25.8,22.5,9.5,4.9,6.1,25.5,31.2,22.700000000000003,10.600000000000001,3.6,8.1
Thrissur,594,Kerala,32,28.4,24.5,10.200000000000001,8.200000000000001,1.9,2.8,26.4,28.1,9.299999999999999,7.7,6.8,5.0,25.3,30.0,8.8,7.5,9.7,6.2
Tikamgarh,424,Madhya Pradesh,23,6.7,6.1,12.6,7.3999999999999995,7.5,5.7,6.7,8.0,16.2,9.0,6.8,6.5,0.0,0.0,0.0,0.0,0.0,0.0
Tinsukia,309,Assam,18,5.3,7.7,23.2,16.0,6.8,2.5,16.0,12.6,25.9,16.8,8.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Tirap,254,Arunachal Pradesh,12,8.5,4.4,10.8,5.9,9.3,3.8,9.1,6.9,9.5,6.2,6.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Tiruchirappalli,614,Tamil Nadu,33,20.2,22.8,8.399999999999999,6.8999999999999995,4.8,7.5,28.7,31.3,21.0,10.3,12.6,8.1,36.7,40.3,32.9,13.799999999999999,20.0,8.8
Tirunelveli,628,Tamil Nadu,33,27.5,26.0,12.8,9.4,7.3,5.7,30.2,29.5,21.9,9.700000000000001,9.0,7.6,32.7,32.9,30.4,9.799999999999999,10.6,9.4
Tiruppur,633,Tamil Nadu,33,32.4,27.8,21.1,7.5,6.0,5.4,26.3,28.0,13.999999999999998,6.1000000000000005,8.2,4.2,22.7,28.2,9.8,5.3,9.6,3.5
Tiruvannamalai,606,Tamil Nadu,33,29.8,26.1,7.9,6.6,12.0,5.4,29.8,27.1,10.099999999999998,8.3,13.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0
Tonk,120,Rajasthan,08,9.1,7.4,12.1,2.6,10.4,2.8,9.7,10.5,11.200000000000001,3.8,9.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Tuensang,267,Nagaland,13,7.0,4.8,17.9,12.0,15.5,7.5,7.1,7.1,21.5,12.899999999999999,13.9,6.6,0.0,0.0,0.0,0.0,0.0,0.0
Tumkur,571,Karnataka,29,16.8,17.3,15.5,8.700000000000001,6.6,5.6,19.3,22.3,20.500000000000004,10.7,8.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,130,Rajasthan,08,8.3,5.0,9.8,5.200000000000001,7.9,2.4,12.7,10.4,9.1,6.2,6.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0
Udalguri,326,Assam,18,12.3,9.4,29.5,16.099999999999998,7.5,3.3,11.6,10.1,29.200000000000003,16.4,7.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Udham Singh Nagar,067,Uttarakhand,05,12.8,20.1,17.9,12.1,11.8,6.7,17.9,24.8,20.5,12.2,10.7,7.4,24.8,32.3,24.099999999999998,12.3,9.1,8.4
Udhampur,019,Jammu & Kashmir,01,12.6,16.4,5.5,7.0,1.5,3.0,14.1,20.3,5.2,7.5,2.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0
Udupi,569,Karnataka,29,17.7,19.0,20.9,10.8,7.8,5.4,22.5,20.7,21.200000000000003,10.799999999999999,9.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Ujjain,435,Madhya Pradesh,23,6.6,10.2,9.8,8.4,6.1,6.9,11.4,17.5,11.6,9.5,7.4,7.4,19.1,27.8,14.2,11.1,9.4,8.1
Ukhrul,279,Manipur,14,4.5,10.5,13.0,11.2,3.7,4.6,4.6,12.0,18.4,11.600000000000001,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Umaria,431,Madhya Pradesh,23,1.6,6.2,8.0,8.100000000000001,1.6,4.2,3.2,9.6,8.200000000000001,8.0,2.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Una,029,Himachal Pradesh,02,24.3,37.3,24.4,13.4,7.6,8.7,26.1,37.5,24.5,13.700000000000001,7.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnao,156,Uttar Pradesh,09,6.6,11.0,6.300000000000001,5.1,4.6,2.7,5.3,13.2,8.4,5.2,4.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0
