district,district_census_code,state,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,rural_BMI_show,rural_BP_show,rural_SUG_show,rural_ALL_show
Paschim Medinipur,344,West Bengal,15.3,14.7,11.5,6.7,11.3,6.5,yes,no,yes,no
Pashchim Champaran,203,Bihar,10.2,9.8,9.7,7.6,5.9,3.7,no,no,no,no
Pashchimi Singhbhum,368,Jharkhand,3.5,5.3,15.1,12.1,7.4,4.1,no,yes,no,no
Patan,470,Gujarat,10.5,11.2,8.0,9.6,7.7,5.5,no,no,yes,no
Pathanamthitta,599,Kerala,36.4,39.1,15.999999999999998,8.6,7.8,11.2,yes,yes,yes,yes
Patiala,48,Punjab,37.2,34.5,26.9,15.9,8.0,6.1,yes,yes,yes,yes
Patna,230,Bihar,9.2,12.3,9.3,6.1000000000000005,6.0,3.4,no,no,no,no
Perambalur,615,Tamil Nadu,18.9,24.9,20.3,6.0,11.5,8.0,yes,no,yes,no
Peren,271,Nagaland,7.3,15.7,21.3,14.9,4.6,4.9,no,yes,no,no
Phek,266,Nagaland,9.6,12.4,20.0,20.8,8.6,5.1,no,yes,yes,no
Pilibhit,151,Uttar Pradesh,5.6,13.1,6.300000000000002,10.0,16.5,8.3,no,no,yes,no
Pithoragarh,62,Uttarakhand,14.6,14.9,15.6,8.0,12.6,6.6,yes,no,yes,no
Porbandar,478,Gujarat,13.4,19.5,7.699999999999998,6.2,5.0,4.2,yes,no,no,no
Prakasam,549,Andhra Pradesh,34.8,29.3,15.5,7.7,5.5,7.0,yes,no,no,no
Pratapgarh,131,Rajasthan,5.9,5.9,5.5,5.5,4.6,3.5,no,no,no,no
Pratapgarh,173,Uttar Pradesh,11.2,10.9,3.6,5.6000000000000005,6.8,2.7,no,no,no,no
Puducherry,635,Puducherry,32.0,34.1,9.3,6.500000000000001,2.9,8.0,yes,no,no,no
Pudukkottai,621,Tamil Nadu,24.2,20.6,12.5,6.0,14.3,6.0,yes,no,yes,no
Pulwama,12,Jammu & Kashmir,22.1,33.7,6.700000000000001,11.9,5.0,3.3,yes,no,no,no
Punch,5,Jammu & Kashmir,15.5,19.9,12.4,10.0,3.2,3.0,yes,yes,no,no
Pune,521,Maharashtra,17.4,21.3,13.4,9.4,1.6,4.5,yes,yes,no,no
Purba Champaran,204,Bihar,6.2,9.6,7.6,7.6,10.7,6.2,no,no,yes,no
Purba Medinipur,345,West Bengal,18.3,19.0,7.300000000000002,6.6,12.8,8.2,yes,no,yes,no
Purbi Singhbhum,357,Jharkhand,8.7,6.5,8.399999999999999,8.4,6.5,4.6,no,no,no,no
Puri,387,Odisha,24.6,24.1,8.3,9.1,13.2,9.7,yes,no,yes,no
Purnia,211,Bihar,4.4,5.8,6.5,6.2,3.9,3.9,no,no,no,no
Puruliya,340,West Bengal,5.4,3.6,9.5,8.899999999999997,5.0,4.2,no,no,no,no
Rae Bareli,158,Uttar Pradesh,3.4,9.4,8.299999999999999,7.300000000000002,3.4,2.6,no,no,no,no
Raichur,559,Karnataka,27.4,13.0,18.6,6.4,7.5,4.2,yes,no,no,no
Raigarh,403,Chhattisgarh,6.8,9.8,16.6,14.3,15.2,9.4,no,yes,yes,no
Raigarh,520,Maharashtra,12.0,18.2,21.9,9.1,11.0,4.3,no,yes,no,no
Raipur,410,Chhattisgarh,12.1,11.5,11.3,7.1,11.3,4.6,no,no,no,no
Raisen,446,Madhya Pradesh,5.3,8.3,5.9,5.8,6.9,2.0,no,no,no,no
Rajgarh,442,Madhya Pradesh,6.2,4.8,1.6,4.4,2.7,2.9,no,no,no,no
Rajkot,476,Gujarat,23.6,30.3,5.0,6.4,7.4,6.7,yes,no,yes,no
Rajnandgaon,408,Chhattisgarh,5.9,5.2,3.4,4.7,3.8,3.5,no,no,no,no
Rajouri,6,Jammu & Kashmir,14.4,19.4,17.900000000000006,11.5,3.1,3.3,yes,yes,no,no
Rajsamand,123,Rajasthan,5.9,11.1,7.8,6.1,2.7,4.0,no,no,no,no
Ramanagara,584,Karnataka,32.9,19.9,15.1,8.4,5.1,4.7,yes,yes,no,no
Ramanathapuram,626,Tamil Nadu,26.6,27.6,22.2,7.5,6.3,4.8,yes,no,no,no
Ramban,17,Jammu & Kashmir,16.2,16.6,14.8,13.0,0.6,2.9,yes,yes,no,no
Ramgarh,361,Jharkhand,9.2,7.0,7.699999999999998,5.8,6.5,3.8,no,no,no,no
Rampur,136,Uttar Pradesh,9.4,12.3,5.7,6.9,12.5,7.1,no,no,yes,no
Ranchi,364,Jharkhand,4.2,7.1,14.9,10.1,3.4,6.1,no,yes,no,no
Rangareddy,537,Telangana,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Ratlam,434,Madhya Pradesh,2.9,8.7,18.2,8.7,7.4,4.7,no,yes,no,no
Ratnagiri,528,Maharashtra,25.5,13.7,27.4,9.9,9.0,5.8,yes,yes,yes,yes
Rayagada,396,Odisha,7.0,6.4,7.1,5.7,11.7,6.6,no,no,yes,no
